player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Matthieu Dreyer,2010-2011,Sochaux,11,10,945,10.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Dubarbier,2010-2011,Lorient,6,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre Ducasse,2010-2011,Bordeaux,10,4,379,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ducourtioux,2010-2011,Valenciennes,37,33,2998,33.3,2,5,7,2,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.06,0.15,0.21,0.06,0.21,0.0,0.0,0.0,0.0,0.0
Dariusz Dudka,2010-2011,Auxerre,29,29,2582,28.7,3,1,4,2,1,1,3,0,0.0,0.0,0.0,0.0,0,0,0.1,0.03,0.14,0.07,0.1,0.0,0.0,0.0,0.0,0.0
Stéphane Dumont,2010-2011,Lille,12,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nenad Džodić,2010-2011,Montpellier,3,3,218,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albin Ebondo,2010-2011,Saint-Étienne,30,29,2632,29.2,1,1,2,1,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0.03,0.03,0.07,0.03,0.07,0.0,0.0,0.0,0.0,0.0
Bruno Ecuele Manga,2010-2011,Lorient,31,31,2787,31.0,1,0,1,1,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
Apoula Edel,2010-2011,Paris S-G,24,23,2127,23.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ederson,2010-2011,Lyon,8,5,426,4.7,2,2,4,2,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.42,0.42,0.85,0.42,0.85,0.0,0.0,0.0,0.0,0.0
Steeve Elana,2010-2011,Brest,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
